Title: test

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
10000.00 964.15 0.627125 39.7058 0.0322512 5.10857 0.0683285 0.362516 0.665898 20.3811 0.0998225 0.798157 7.04449 0.372944 0 25.36
10000.00 963.15 0.624324 39.5465 0.0314885 5.07106 0.0678134 0.363367 0.659112 20.4726 0.0999045 0.79391 7.05209 0.36831 0 25.4738
10000.00 962.15 0.621580 39.3894 0.0307461 5.03385 0.067295 0.364208 0.652319 20.563 0.09999 0.789684 7.05952 0.363768 0 25.5863
10000.00 961.15 0.618892 39.2344 0.0300234 4.99692 0.0667736 0.365039 0.645525 20.6523 0.100079 0.78548 7.06678 0.359316 0 25.6974
10000.00 960.15 0.616258 39.0815 0.0293198 4.96027 0.0662495 0.365863 0.638731 20.7405 0.100171 0.781296 7.07388 0.354948 0 25.8072
10000.00 959.15 0.613676 38.9306 0.0286345 4.92389 0.0657231 0.366679 0.631941 20.8278 0.100267 0.777134 7.08083 0.350664 0 25.9158
10000.00 958.15 0.611144 38.7816 0.0279669 4.88778 0.0651946 0.367488 0.625159 20.9141 0.100366 0.772994 7.08763 0.346459 0 26.0232
10000.00 957.15 0.608660 38.6346 0.0273166 4.85193 0.0646643 0.368292 0.618386 20.9995 0.100468 0.768875 7.09428 0.342332 0 26.1294
10000.00 956.15 0.606223 38.4894 0.0266829 4.81633 0.0641324 0.36909 0.611626 21.0839 0.100573 0.764777 7.10079 0.338279 0 26.2344
10000.00 955.15 0.603831 38.346 0.0260652 4.78098 0.0635993 0.369883 0.60488 21.1674 0.100681 0.760701 7.10716 0.334299 0 26.3384
10000.00 954.15 0.601483 38.2043 0.0254632 4.74588 0.063065 0.370671 0.598152 21.25 0.100792 0.756645 7.11339 0.330388 0 26.4412
10000.00 953.15 0.599177 38.0644 0.0248763 4.71102 0.0625299 0.371456 0.591443 21.3318 0.100906 0.752612 7.11949 0.326546 0 26.5429
10000.00 952.15 0.596912 37.9261 0.024304 4.6764 0.0619941 0.372237 0.584756 21.4127 0.101023 0.748599 7.12546 0.322769 0 26.6436
10000.00 951.15 0.594687 37.7894 0.023746 4.642 0.0614578 0.373015 0.578092 21.4929 0.101143 0.744608 7.1313 0.319056 0 26.7433
