,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
69,10F2,0.001,1473,44.8,1.66,17.79,18.97,4.4,7.8,2.32,1.15,0.0,0.0,2190,-8.95,,,,,,,,1199.85
70,14F2,0.001,1473,38.9,1.57,22.46,17.92,5.11,8.5,2.93,1.12,0.0,0.0,1950,-10.35,,,,,,,,1199.85
71,7F1,0.001,1473,44.0,1.69,19.26,18.69,4.58,7.5,2.4,1.2,0.0,0.0,1880,-9.41,,,,,,,,1199.85
72,13F1,0.001,1473,46.3,1.86,18.54,15.43,3.96,6.96,3.83,1.55,0.0,0.0,1790,-9.4,,,,,,,,1199.85
73,13F1,0.001,1473,47.5,1.8,17.16,15.19,5.71,8.47,2.91,1.61,0.0,0.0,1620,-11.08,,,,,,,,1199.85
74,11F2,0.001,1473,45.1,1.78,19.81,16.41,5.74,7.31,2.64,0.94,0.0,0.0,1580,-9.31,,,,,,,,1199.85
75,9F1,0.001,1473,44.1,1.7,20.96,15.81,5.11,6.94,3.54,1.32,0.0,0.0,1350,-9.31,,,,,,,,1199.85
76,2F2,0.001,1473,46.0,1.93,22.89,13.83,5.19,6.85,2.35,0.85,0.0,0.0,1260,-9.01,,,,,,,,1199.85
77,2F1,0.001,1473,49.2,0.0,19.68,12.45,5.83,8.08,2.24,0.81,0.0,0.0,1070,-9.17,,,,,,,,1199.85
78,6F1,0.001,1473,48.0,1.95,17.09,14.17,6.39,7.25,2.61,1.21,0.0,0.0,1040,-9.08,,,,,,,,1199.85
79,31F1,0.001,1473,52.0,2.06,16.22,10.55,6.63,8.11,2.4,1.25,0.0,0.0,810,-9.3,,,,,,,,1199.85
80,1F2,0.001,1473,49.2,1.93,19.18,12.8,6.04,7.82,2.56,0.88,0.0,0.0,800,-8.9,,,,,,,,1199.85
81,3F1,0.001,1473,49.2,1.97,20.53,11.82,5.7,7.86,2.08,1.08,0.0,0.0,770,-9.46,,,,,,,,1199.85
82,4F1,0.001,1473,52.5,2.12,16.2,9.74,6.04,8.54,2.46,1.13,0.0,0.0,710,-9.73,,,,,,,,1199.85
83,1F1,0.001,1473,53.9,2.12,20.06,6.51,6.24,8.73,1.81,0.88,0.0,0.0,480,-10.2,,,,,,,,1199.85
84,12F1,0.001,1473,53.1,2.52,20.93,5.28,8.27,6.27,2.81,1.58,0.0,0.0,450,-11.08,,,,,,,,1199.85
85,11F1,0.001,1473,54.7,2.21,20.31,3.11,7.8,7.66,3.5,4.64,0.0,0.0,430,-11.08,,,,,,,,1199.85
86,FeS-SSKOM-14,9.0,1773,51.0,0.37,10.1,17.2,10.5,8.99,0.16,0.04,0.0,0.0,3320,-9.52,,,,,,,,1499.85
87,FeS-SSKOM-26,10.0,1773,50.6,0.28,9.3,10.6,19.9,8.09,0.21,0.05,0.0,0.0,3270,-9.99,,,,,,,,1499.85
88,FeS-BK-4,10.0,1873,47.8,0.0,11.1,11.2,11.8,17.1,0.0,0.0,0.0,0.0,2960,-9.08,,,,,,,,1599.85
89,FeS-SSKOM-25,10.0,1773,50.0,0.25,8.55,12.8,20.7,7.09,0.19,0.04,0.0,0.0,2910,-9.89,,,,,,,,1499.85
90,FeS-BK-13,10.0,1873,42.2,0.0,13.4,12.6,22.1,8.72,0.0,0.0,0.0,0.0,2870,-8.98,,,,,,,,1599.85
91,FeS-BK-8,10.0,1798,46.4,0.0,10.1,9.27,19.7,14.0,0.0,0.0,0.0,0.0,2660,-9.88,,,,,,,,1524.85
92,FeS-SSKOM-15,14.0,1773,49.2,0.29,9.77,14.0,17.8,8.16,0.09,0.04,0.0,0.0,2390,-9.67,,,,,,,,1499.85
93,FeS-SSKOM-12,10.0,1723,50.4,0.27,8.36,12.3,19.8,7.97,0.0,0.03,0.0,0.0,2300,-10.33,,,,,,,,1449.85
94,FeS-SSKOM-11,10.0,1723,50.8,0.27,8.77,12.8,17.9,8.51,0.06,0.03,0.0,0.0,2230,-10.33,,,,,,,,1449.85
95,FeS-AD-1,10.0,1723,46.3,0.0,12.0,7.06,17.2,16.5,0.0,0.0,0.0,0.0,2170,-10.73,,,,,,,,1449.85
96,FeS-SSKOM-16,20.0,1773,47.0,0.56,14.2,12.5,9.65,13.9,0.31,0.1,0.0,0.0,2150,-9.48,,,,,,,,1499.85
97,FeS-I-10-08-1,10.0,1723,50.8,2.12,7.79,8.37,14.5,4.16,0.73,8.39,0.0,0.0,2130,-10.63,,,,,,,,1449.85
98,FeS-SSKOM-17,25.0,1773,50.8,0.13,6.95,8.93,22.2,10.0,0.05,0.0,0.0,0.0,2060,-9.73,,,,,,,,1499.85
99,FeS-BK-9,10.0,1723,47.0,0.0,10.6,8.63,16.4,16.7,0.0,0.0,0.0,0.0,2050,-10.53,,,,,,,,1449.85
100,FeS-SSKOM-6,10.0,1723,50.8,0.33,10.5,9.23,18.4,10.2,0.23,0.05,0.0,0.0,2030,-10.53,,,,,,,,1449.85
101,FeS-SSKOM-7,10.0,1723,50.3,0.36,11.1,9.86,16.8,10.4,0.27,0.05,0.0,0.0,1990,-10.53,,,,,,,,1449.85
102,FeS-SSKOM-27,20.0,1773,47.1,0.5,14.5,9.87,12.6,13.3,0.24,0.08,0.0,0.0,1940,-9.68,,,,,,,,1499.85
103,FeS-SSKOM-5,10.0,1723,49.7,0.4,12.1,8.76,16.5,11.8,0.29,0.05,0.0,0.0,1910,-10.63,,,,,,,,1449.85
