,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
27,RDCT-7,1.82,1073.15,76.88343054870596,0.2062840374609927,12.602968879368564,0.9653805742822138,0.719033103663669,1.4636947159275644,3.16587569413893,3.946412009860162,,4.440547999999999,80.62730432555217,,,,,,,,,800.0000000000001
28,RDCT-10,1.82,1073.15,76.85,0.16907029785376348,12.625711556757132,1.0554554842964348,0.7994223672487966,1.3306373566697336,3.1477027385927223,3.921847233660957,,4.348172166666668,52.81862650802354,,,,,,,,,800.0000000000001
29,RDCT-5,2.01,1123.15,74.9620203363849,0.2237490651103391,13.820266700714171,1.164629203058808,0.6397971441751911,1.8638193941537309,3.5637112303593588,3.725482465694449,,4.569405299999999,119.3527481080887,,,,,,,,,850.0000000000001
30,RDCT-9,2.01,1123.15,75.68774678938449,0.2378866694310125,13.319908431710521,1.1846788789185811,0.4993037357908439,1.6754523820528864,3.4864644056239866,3.8770377986226565,,4.032523499999997,115.72066310693839,,,,,,,,,850.0000000000001
31,RDCT-15,1.99,1173.15,73.96509154226177,0.3538328449649041,14.88100094401946,0.9807266668572635,0.48726905436652,2.0384338148301606,3.7424177798873313,3.4758908563321067,,5.182396,222.872685,,,,,,,,,900.0000000000001
32,RDCT-16,1.99,1173.15,74.18866202885641,0.35538449892658386,14.471908910925773,1.0834671599287213,0.36647376299324635,2.1033451677574457,3.734576103965314,3.601934281427883,,5.114173999999999,208.1658022222222,,,,,,,,,900.0000000000001
33,CaHGT-1,1.75,1173.15,76.03794958923064,0.03489549611035943,13.134353887630313,0.05777270827460392,0.016743787296782667,0.9974857733430553,4.937568369896058,4.715184302239768,,3.703482666666665,221.9136168421052,,,,,,,,,900.0000000000001
34,CaHGT-2,2.02,1073.15,77.711173708573,0.02858830816336832,12.295792346209586,0.062306733580178034,0.016878514530328997,0.4439879701792397,4.724216092627466,4.650903808567009,,3.7387134545454535,88.86873100000001,,,,,,,,,800.0000000000001
35,CaHGT-3,1.75,1173.15,76.03266142496405,0.028725159017743966,13.067683391964778,0.05691481677371919,0.01935363183340516,1.0848344163456638,4.985607340573404,4.7062701548199755,,4.3228589999999985,236.9003742105263,,,,,,,,,900.0000000000001
36,CaHGT-4,2.02,1073.15,76.64702107215643,0.02928523067255911,13.04521313480479,0.0351766307204469,0.022043653812506135,0.4499234719350473,4.965088220050153,4.785284978110751,,4.359994583333332,97.05207666666668,,,,,,,,,800.0000000000001
37,CaHGT-5,1.91,1173.15,75.82245406854213,0.01728883345579204,13.216077710170167,0.05107557953283017,0.015230524525818662,0.9646369926001003,5.077180129049489,4.794627252530231,,3.090643166666665,155.9708305,,,,,,,,,900.0000000000001
38,CaHGT-6,2.0,1073.15,76.97988977200377,0.022961292278945816,12.7827220339,0.040060109056045824,0.016921032256863318,0.4475496327743172,4.985318721715125,4.68084968872606,,3.8961810000000012,107.8793589473684,,,,,,,,,800.0000000000001
39,CaHGT-7,1.91,1173.15,76.12472485707362,0.02996603394360833,13.009198027194705,0.05339325772342885,0.01636685101828987,1.1863803883011683,4.879802753531302,4.638889307425866,,3.6750679166666664,200.0247305,,,,,,,,,900.0000000000001
40,CaHGT-8,2.0,1073.15,76.2960937676021,0.022776106163867237,13.278406502158957,0.05912617892598908,0.022291537396234302,0.5150194604301301,5.060948763320449,4.708454111183088,,4.694503,106.49393181818182,,,,,,,,,800.0000000000001
41,C72b,2.06,1300.15,69.66,0.42,17.89,3.35,1.01,1.36,4.78,1.53,,3.7178000000000004,2290.0,,,,,,,,,1027.0
42,C135a,2.02,1258.15,60.14,0.64,19.05,4.18,1.98,6.29,4.96,2.63,,5.8107999999999995,1940.0,,,,,,,,,985.0000000000001
43,C135b,2.02,1258.15,61.56,0.75,18.81,3.68,1.91,5.95,4.69,2.52,,5.228400000000001,1860.0,,,,,,,,,985.0000000000001
44,C95c,1.95,1223.15,67.08,0.1,19.6,1.76,1.32,1.81,4.33,3.11,,4.0545,1460.0,,,,,,,,,950.0000000000001
45,M180,2.2,1213.15,69.05,0.36,18.11,3.39,1.52,1.79,4.62,1.14,,4.5641,1290.0,,,,,,,,,940.0000000000001
46,C102a,1.95,1193.15,67.11,0.61,18.32,2.54,1.82,3.76,4.7,1.09,,3.4539,980.0,,,,,,,,,920.0000000000001
