,Sample,P_kbar,T_K,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,S_Liq_ppm,logfO2,Fe_sulf_wt%,Cu_sulf_wt%,Ni_sulf_wt%,S_sulf_wt,Fe_FeNiCu_sulf,Cu_FeNiCu_sulf,Ni_FeNiCu_sulf,T_C
59,B93,20.0,1283.15,67.4,0.55,14.25,2.0,0.49,1.31,4.27,1.57,0.0,,,-10.57,,,,,,,,1010.0000000000001
60,B85,20.0,1323.15,64.6,0.71,14.64,2.64,0.72,1.67,4.08,1.4,0.0,,,-9.89,,,,,,,,1050.0
61,G223,30.0,1223.15,72.7,0.34,13.73,1.09,0.28,0.81,0.96,3.0,0.0,,,-11.62,,,,,,,,950.0000000000001
62,G224,30.0,1323.15,67.9,0.79,11.72,2.18,0.41,1.29,1.57,3.91,0.0,,,-9.8,,,,,,,,1050.0
63,G218,20.0,1173.15,68.2,0.26,13.6,1.27,0.34,0.91,2.43,1.8,0.0,,,-13.98,,,,,,,,900.0000000000001
64,G203,20.0,1223.15,65.0,0.41,13.9,1.85,0.41,1.12,4.76,1.5,0.0,,,-13.13,,,,,,,,950.0000000000001
65,B87,20.0,1273.15,67.9,0.46,14.29,1.72,0.34,0.85,4.48,2.68,0.0,,,-12.68,,,,,,,,1000.0000000000001
66,G202,20.0,1323.15,66.4,0.74,15.09,2.32,0.5,1.17,6.23,1.85,0.0,,,-12.16,,,,,,,,1050.0
67,G225,30.0,1173.15,71.2,0.32,13.02,1.13,0.51,1.15,0.87,3.58,0.0,,,-14.41,,,,,,,,900.0000000000001
68,G228,30.0,1248.15,68.9,0.61,12.29,1.68,0.39,1.11,0.95,4.14,0.0,,,-13.0,,,,,,,,975.0000000000001
69,G230,30.0,1323.15,68.5,0.82,11.96,2.49,0.37,0.96,1.28,2.95,0.0,,,-11.82,,,,,,,,1050.0
70,196,2.0,1073.15,72.2,0.09,11.4,0.32,0.02,0.69,3.02,4.62,0.0,,,-14.585,,,,,,,,800.0000000000001
71,197,2.0,1173.15,72.8,0.07,11.63,0.51,0.02,0.67,3.03,4.75,0.0,,,-12.6121,,,,,,,,900.0000000000001
72,199,2.0,1273.15,65.2,0.48,14.53,2.46,1.0,1.75,2.5,5.41,0.0,,,-10.9491,,,,,,,,1000.0000000000001
73,200,2.0,1273.15,55.9,0.61,17.31,5.92,2.86,6.48,3.27,0.79,0.0,,,-10.9491,,,,,,,,1000.0000000000001
74,201,2.0,1273.15,52.1,1.12,14.95,9.87,3.97,9.24,2.09,0.42,0.0,,,-10.9491,,,,,,,,1000.0000000000001
75,NNO,10.0,1123.15,65.74,0.5,18.5,2.63,0.51,3.12,6.07,2.73,,,,-12.481623921754299,,,,,,,,850.0000000000001
76,,10.0,1223.15,60.59,1.11,19.3,4.24,1.76,5.0,5.66,2.11,,,,-10.737168638156787,,,,,,,,950.0000000000001
77,,15.0,1123.15,68.57,0.35,17.8,1.99,0.31,2.42,5.63,2.71,,,,-12.276815373223577,,,,,,,,850.0000000000001
78,,15.0,1173.15,64.74,0.71,18.99,2.75,0.74,3.43,6.02,2.41,,,,-11.375673496092057,,,,,,,,900.0000000000001
79,,15.0,1223.15,62.18,1.12,19.16,3.61,1.34,4.18,5.99,2.21,,,,-10.549106495883686,,,,,,,,950.0000000000001
80,CoCo,10.0,1123.15,64.52,0.49,19.94,2.4,0.62,4.25,5.53,2.25,,,,-13.897773557961827,,,,,,,,850.0000000000001
81,,10.0,1173.15,63.81,0.62,20.09,2.17,0.74,4.3,5.79,2.27,,,,-12.997158371328222,,,,,,,,900.0000000000001
82,,10.0,1223.15,60.85,0.91,20.52,3.42,0.98,5.11,5.77,2.21,,,,-12.169657602361196,,,,,,,,950.0000000000001
83,,15.0,1123.15,66.09,0.41,19.39,1.85,0.45,3.37,5.88,2.32,,,,-13.6662508509271,,,,,,,,850.0000000000001
84,,15.0,1173.15,62.24,0.73,19.81,2.32,0.8,3.98,5.65,2.25,,,,-12.775504492385341,,,,,,,,900.0000000000001
85,,15.0,1223.15,61.83,1.28,20.01,1.85,2.36,5.0,5.4,2.03,,,,-11.95706561544378,,,,,,,,950.0000000000001
86,P466,10.0,1543.15,52.38,1.12,15.96,4.54,3.08,9.54,2.72,6.53,,,,-9.35,,,,,,,,1270.0
87,P466,10.0,1543.15,53.37,1.09,16.42,4.43,3.14,9.51,2.52,6.24,,,,-9.35,,,,,,,,1270.0
88,P472,10.0,1543.15,53.49,1.12,16.65,4.44,3.31,9.83,2.7,6.25,,,,-9.35,,,,,,,,1270.0
89,P474,10.0,1543.15,52.98,1.15,16.41,4.11,3.36,10.16,2.51,6.01,,,,-9.35,,,,,,,,1270.0
90,P476,10.0,1543.15,54.08,1.11,16.3,4.95,3.81,9.88,2.98,4.22,,,,-9.35,,,,,,,,1270.0
91,P478,10.0,1543.15,53.42,1.11,17.32,5.08,3.76,10.0,3.17,4.26,,,,-9.35,,,,,,,,1270.0
92,P479,10.0,1543.15,54.7,0.9,18.02,1.85,4.18,11.33,2.28,3.35,,,,-9.2,,,,,,,,1270.0
93,P480,10.0,1543.15,54.66,0.73,18.69,2.27,4.7,12.05,1.95,1.4,,,,-9.5,,,,,,,,1270.0
94,LMD670,30.0,1323.15,68.24777777777778,0.6748111111111111,12.311111111111112,0.32492222222222217,1.6150111111111112,2.3366666666666664,1.4594999999999998,2.8055555555555554,0.8863888888888888,,,-15.801997957294638,,,,,,,,1050.0
95,LMD690,30.0,1323.15,67.71000000000001,0.6143166666666667,11.463333333333333,0.8587166666666667,1.5994833333333334,2.355,1.5270166666666667,2.7516666666666665,0.9469666666666666,,,-12.141089832360912,,,,,,,,1050.0
96,LMD697,30.0,1323.15,68.048,0.6139399999999999,10.926,3.4799999999999995,1.4585599999999999,2.296,1.0260799999999999,1.9600000000000002,0.78634,,,-8.808946469887028,,,,,,,,1050.0
97,LMD721,30.0,1323.15,66.93777777777778,0.6885444444444445,11.930000000000001,0.7774444444444444,1.190988888888889,2.3144444444444443,0.9483666666666666,2.2255555555555553,0.9206555555555556,,,-10.53194821946128,,,,,,,,1050.0
98,LMD722,30.0,1323.15,66.56400000000001,0.7298199999999999,12.67,0.13018000000000002,1.2281,2.162,0.97,2.8,0.8776200000000001,,,-10.642180642778532,,,,,,,,1050.0
99,LMD724,30.0,1273.15,67.00833333333334,0.5761166666666667,11.964999999999998,0.5693833333333332,0.8301,1.6533333333333333,1.2445333333333333,2.3949999999999996,0.5426666666666667,,,-11.142462846366168,,,,,,,,1000.0000000000001
100,ND-1 ,1.52,1076.15,77.25,,12.08,0.39,0.05,0.37,4.54,5.0,,,,-15.45,,,,,,,,803.0000000000001
101,ND-2 ,1.5,1076.15,77.18,,12.17,0.39,0.05,0.35,4.55,4.98,,,,-14.01,,,,,,,,803.0000000000001
102,ND-9 ,1.561,1173.15,76.97,,11.98,0.63,0.04,0.37,4.55,4.82,,,,-13.530000000000001,,,,,,,,900.0000000000001
103,SMN-1 ,1.52,1076.15,75.6,,10.67,2.11,0.02,0.06,5.71,4.45,,,,-15.44,,,,,,,,803.0000000000001
104,SMN-2 ,1.5,1076.15,75.14,,10.66,2.32,0.01,0.06,5.72,4.42,,,,-14.03,,,,,,,,803.0000000000001
105,SMN-9 ,1.561,1173.15,75.22,,10.49,2.35,0.02,0.06,5.74,4.41,,,,-13.530000000000001,,,,,,,,900.0000000000001
106,EBU-1 ,1.52,1076.15,74.09,,8.3,5.19,0.01,0.23,6.52,4.41,,,,-15.42,,,,,,,,803.0000000000001
107,EBU-2 ,1.5,1076.15,73.37,,8.38,5.4,0.01,0.28,6.54,4.41,,,,-14.01,,,,,,,,803.0000000000001
108,EBU-7-0.5 ,1.5,1074.15,72.92,,8.13,6.47,0.01,0.26,6.52,4.31,,,,-13.8,,,,,,,,801.0000000000001
109,EBU-7-2 ,1.5,1074.15,75.01,,8.43,4.03,0.03,0.21,6.53,4.32,,,,-13.84,,,,,,,,801.0000000000001
110,EBU-7-4 ,1.5,1074.15,77.29,,8.59,2.0,0.02,0.11,6.5,4.44,,,,-13.95,,,,,,,,801.0000000000001
111,EBU-7-6 ,1.5,1074.15,78.7,,8.77,0.79,0.01,0.08,6.48,4.39,,,,-14.05,,,,,,,,801.0000000000001
112,EBU-8-2 ,1.51,1078.15,74.92,,8.49,3.66,0.02,0.28,6.57,4.48,,,,-15.54,,,,,,,,805.0000000000001
113,EBU-8-4 ,1.51,1078.15,76.83,,8.69,1.57,0.01,0.26,6.58,4.53,,,,-15.629999999999999,,,,,,,,805.0000000000001
114,EBU-8-6 ,1.51,1078.15,77.49,,8.67,0.87,0.01,0.28,6.62,4.54,,,,-15.83,,,,,,,,805.0000000000001
115,EBU-9-0.5 ,1.561,1173.15,72.66,,8.06,6.32,0.02,0.23,6.55,4.3,,,,-13.5,,,,,,,,900.0000000000001
116,EBU-9-1 ,1.561,1173.15,73.34,,8.1,5.39,0.01,0.26,6.57,4.37,,,,-13.51,,,,,,,,900.0000000000001
117,EBU-9-2 ,1.561,1173.15,74.44,,8.23,4.15,0.01,0.27,6.58,4.38,,,,-13.56,,,,,,,,900.0000000000001
118,EBU-9-4 ,1.561,1173.15,76.0,,8.45,2.25,0.02,0.25,6.62,4.59,,,,-13.66,,,,,,,,900.0000000000001
119,EBU-9-6 ,1.561,1173.15,76.39,,8.49,1.52,0.02,0.26,6.63,4.54,,,,-13.82,,,,,,,,900.0000000000001
120,198,2.0,1223.15,57.4,0.63,18.96,6.06,1.93,6.86,4.75,3.03,0.0,,,-11.756122007135977,,,,,,,,950.0000000000001
121,161,2.0,1273.15,58.0,0.66,18.89,6.09,1.45,8.32,4.15,2.17,0.0,,,-10.960067774282459,,,,,,,,1000.0000000000001
122,223,4.0,1173.15,59.3,0.52,19.72,5.08,1.05,6.3,4.48,3.29,0.0,,,-12.46163863255794,,,,,,,,900.0000000000001
123,185,2.0,1173.15,59.7,0.48,19.37,5.53,0.99,5.35,4.86,3.44,0.0,,,-12.617911437332022,,,,,,,,900.0000000000001
124,163,2.0,1273.15,60.3,0.45,22.41,2.96,0.34,6.8,5.38,1.22,0.0,,,-10.960067774282459,,,,,,,,1000.0000000000001
125,260,4.0,1273.15,61.3,0.44,22.2,1.96,0.36,7.45,5.09,0.99,0.0,,,-10.816385134848053,,,,,,,,1000.0000000000001
126,200,2.0,1223.15,63.6,0.62,21.38,1.93,0.28,4.97,5.5,1.57,0.0,,,-11.756122007135977,,,,,,,,950.0000000000001
127,286,1.0,1173.15,64.4,0.29,17.27,4.3,0.62,2.28,5.51,5.12,0.0,,,-12.696047839719064,,,,,,,,900.0000000000001
128,275,4.0,1223.15,64.6,0.2,21.55,1.54,0.37,6.11,4.2,1.23,0.0,,,-11.60640164736492,,,,,,,,950.0000000000001
129,148,2.0,1123.15,65.0,0.01,17.98,3.78,0.4,2.48,5.43,4.85,0.0,,,-13.55504109416869,,,,,,,,850.0000000000001
130,144,2.0,1123.15,65.2,0.29,17.6,3.57,0.42,2.88,5.06,4.74,0.0,,,-13.55504109416869,,,,,,,,850.0000000000001
131,218,4.0,1073.15,66.1,0.21,18.35,1.92,0.29,3.25,4.9,4.78,0.0,,,-14.407773562421042,,,,,,,,800.0000000000001
132,187,2.0,1173.15,67.1,0.24,18.71,2.33,0.39,3.47,5.5,2.05,0.0,,,-12.617911437332022,,,,,,,,900.0000000000001
133,230,4.0,1123.15,67.4,0.12,19.0,2.14,0.64,4.0,5.04,1.56,0.0,,,-13.391632367543577,,,,,,,,850.0000000000001
134,156,2.0,1073.15,68.3,0.02,16.78,2.17,0.18,1.46,5.23,5.76,0.0,,,-14.578983254872114,,,,,,,,800.0000000000001
135,146,2.0,1123.15,69.4,0.13,17.36,1.69,0.57,2.17,5.45,3.08,0.0,,,-13.55504109416869,,,,,,,,850.0000000000001
136,220,4.0,1073.15,70.1,0.1,17.3,1.79,0.65,2.99,4.99,1.98,0.0,,,-14.407773562421042,,,,,,,,800.0000000000001
137,225,4.0,1173.15,65.3,0.11,20.81,2.18,0.6,4.93,4.64,1.33,0.0,,,-12.46163863255794,,,,,,,,900.0000000000001
138,158,2.0,1073.15,69.3,0.21,16.16,1.94,0.16,1.7,4.84,5.51,0.0,,,-14.578983254872114,,,,,,,,800.0000000000001
139,228,4.0,1123.15,62.4,0.3,19.65,3.2,0.47,5.25,4.85,3.67,0.0,,,-13.391632367543577,,,,,,,,850.0000000000001
140,155,2.0,1073.15,72.2,0.12,15.5,1.34,0.45,1.45,5.53,3.33,0.0,,,-14.578983254872114,,,,,,,,800.0000000000001
