System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
49 1000.00 1256.00 100.000000 1.0000000000000000 1.000000 -1167933.052233 275.360026 37.302673 147.580866 -278.242653 3056.997548 -8.566 -8.566 2.680773 0.000000 1.963 n/a n/a
50 3000.00 1253.00 100.000000 1.0000000000000000 1.000000 -1161888.807175 274.468536 36.769275 147.542657 -246.575799 2964.285776 -8.408 -8.408 2.719662 0.000000 1.975 n/a n/a
50 1000.00 1253.00 100.000000 1.0000000000000000 1.000000 -1168375.793992 275.070207 37.293502 147.580306 -278.085346 3056.603022 -8.600 -8.600 2.681432 0.000000 1.975 n/a n/a
51 3000.00 1250.00 100.000000 1.0000000000000000 1.000000 -1162331.433969 274.178222 36.760383 147.541872 -246.456154 2963.940223 -8.442 -8.442 2.720320 0.000000 1.987 n/a n/a
51 1000.00 1250.00 100.000000 1.0000000000000000 1.000000 -1168818.534070 274.779819 37.284333 147.579746 -277.928116 3056.205553 -8.635 -8.635 2.682092 0.000000 1.987 n/a n/a
47 7000.00 1268.00 100.000000 1.0000000000000000 1.000000 -1146921.712081 274.750571 35.939694 147.489588 -191.588878 2855.984400 -7.871 -7.871 2.782439 0.000000 1.915 n/a n/a
52 3000.00 1247.00 100.000000 1.0000000000000000 1.000000 -1162774.058409 273.887337 36.751491 147.541088 -246.336588 2963.591726 -8.476 -8.476 2.720978 0.000000 1.999 n/a n/a
52 1000.00 1247.00 100.000000 1.0000000000000000 1.000000 -1169261.272468 274.488859 37.275165 147.579186 -277.770965 3055.805142 -8.669 -8.669 2.682751 0.000000 1.999 n/a n/a
48 7000.00 1267.00 100.000000 1.0000000000000000 1.000000 -1147069.201454 274.654839 35.936839 147.489159 -191.573914 2855.909058 -7.882 -7.882 2.782660 0.000000 1.919 n/a n/a
53 3000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1163216.680501 273.595880 36.742601 147.540306 -246.217098 2963.240287 -8.510 -8.510 2.721636 0.000000 2.012 n/a n/a
53 1000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1169704.009186 274.197326 37.265998 147.578626 -277.613892 3055.401787 -8.703 -8.703 2.683411 0.000000 2.012 n/a n/a
53 5000.00 1244.00 100.000000 1.0000000000000000 1.000000 -1156803.762257 273.010360 36.279395 147.507237 -217.423179 2896.135003 -8.321 -8.321 2.756386 0.000000 2.012 n/a n/a
54 1000.00 1241.00 100.000000 1.0000000000000000 1.000000 -1170146.744224 273.905217 37.256833 147.578066 -277.456896 3054.995489 -8.738 -8.738 2.684071 0.000000 2.024 n/a n/a
55 3000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1164101.917651 273.011236 36.724824 147.538745 -245.978354 2962.528579 -8.579 -8.579 2.722954 0.000000 2.036 n/a n/a
55 1000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1170589.477583 273.612530 37.247668 147.577506 -277.299979 3054.586248 -8.773 -8.773 2.684732 0.000000 2.036 n/a n/a
55 5000.00 1238.00 100.000000 1.0000000000000000 1.000000 -1157688.799604 272.425848 36.262020 147.505214 -217.259604 2895.527127 -8.390 -8.390 2.757706 0.000000 2.036 n/a n/a
56 1000.00 1235.00 100.000000 1.0000000000000000 1.000000 -1171032.209262 273.319262 37.238505 147.576947 -277.143139 3054.174065 -8.808 -8.808 2.685392 0.000000 2.049 n/a n/a
57 3000.00 1232.00 100.000000 1.0000000000000000 1.000000 -1164987.145449 272.424272 36.707051 147.537189 -245.739921 2961.805100 -8.649 -8.649 2.724272 0.000000 2.061 n/a n/a
56 5000.00 1235.00 100.000000 1.0000000000000000 1.000000 -1158131.313732 272.132724 36.253334 147.504206 -217.177933 2895.218774 -8.425 -8.425 2.758367 0.000000 2.049 n/a n/a
57 1000.00 1232.00 100.000000 1.0000000000000000 1.000000 -1171474.939262 273.025411 37.229343 147.576387 -276.986377 3053.758938 -8.843 -8.843 2.686053 0.000000 2.061 n/a n/a
58 3000.00 1229.00 100.000000 1.0000000000000000 1.000000 -1165429.755850 272.129915 36.698166 147.536412 -245.620821 2961.438945 -8.684 -8.684 2.724932 0.000000 2.074 n/a n/a
58 1000.00 1229.00 100.000000 1.0000000000000000 1.000000 -1171917.667583 272.730975 37.220183 147.575827 -276.829693 3053.340868 -8.878 -8.878 2.686714 0.000000 2.074 n/a n/a
59 3000.00 1226.00 100.000000 1.0000000000000000 1.000000 -1165872.363925 271.834971 36.689282 147.535637 -245.501800 2961.069848 -8.719 -8.719 2.725592 0.000000 2.086 n/a n/a
59 1000.00 1226.00 100.000000 1.0000000000000000 1.000000 -1172360.394226 272.435952 37.211023 147.575268 -276.673087 3052.919856 -8.914 -8.914 2.687376 0.000000 2.086 n/a n/a
60 3000.00 1223.00 100.000000 1.0000000000000000 1.000000 -1166314.969676 271.539437 36.680400 147.534864 -245.382856 2960.697808 -8.755 -8.755 2.726252 0.000000 2.099 n/a n/a
51 7000.00 1266.90 100.000000 1.0000000000000000 1.000000 -1147083.950368 274.645262 35.936553 147.489117 -191.572418 2855.901506 -7.883 -7.883 2.782682 0.000000 1.919 n/a n/a
61 3000.00 1220.00 100.000000 1.0000000000000000 1.000000 -1166757.573108 271.243312 36.671518 147.534091 -245.263990 2960.322825 -8.790 -8.790 2.726912 0.000000 2.111 n/a n/a
57 5000.00 1232.00 100.000000 0.9880442527956164 0.989818 -1159081.911776 271.501719 36.188618 147.056710 -215.845913 2882.665065 -8.460 -8.460 2.758348 3.244648 2.068 n/a n/a
61 1000.00 1220.00 100.000000 1.0000000000000000 1.000000 -1173245.842474 271.844133 37.192708 147.574149 -276.360109 3052.069001 -8.986 -8.986 2.688699 0.000000 2.111 n/a n/a
