System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
95 3000.00 1118.00 100.000000 1.0000000000000000 1.000000 -1180090.389597 300.652396 41.243774 151.098079 -299.578618 5703.568189 -10.054 -10.054 2.424608 0.000000 1.159 n/a n/a
96 3000.00 1115.00 100.000000 0.9996072316033657 0.999786 -1180561.107051 300.313654 41.226487 151.070781 -299.565189 5701.674173 -10.109 -10.109 2.425192 4.445585 1.171 n/a n/a
97 3000.00 1116.00 100.000000 1.0000000000000000 1.000000 -1180392.579690 300.435016 41.232367 151.092009 -299.593408 5703.568189 -10.083 -10.083 2.425279 0.000000 1.166 n/a n/a
98 3000.00 1115.00 100.000000 0.9996072316033350 0.999786 -1180561.107051 300.313654 41.226487 151.070781 -299.565189 5701.674173 -10.109 -10.109 2.425192 4.445585 1.171 n/a n/a
99 3000.00 1115.10 100.000000 0.9996717936116362 0.999821 -1180543.132966 300.326602 41.227086 151.074075 -299.570302 5701.985520 -10.106 -10.106 2.425228 4.445560 1.171 n/a n/a
100 3000.00 1115.20 100.000000 0.9997364197855453 0.999856 -1180525.155591 300.339551 41.227686 151.077371 -299.575421 5702.297170 -10.102 -10.102 2.425264 4.445536 1.170 n/a n/a
101 3000.00 1115.30 100.000000 0.9998011102239502 0.999891 -1180507.174920 300.352501 41.228285 151.080671 -299.580546 5702.609125 -10.099 -10.099 2.425300 4.445512 1.170 n/a n/a
102 3000.00 1115.40 100.000000 0.9998658650206181 0.999927 -1180489.190950 300.365454 41.228884 151.083973 -299.585679 5702.921384 -10.095 -10.095 2.425336 4.445487 1.169 n/a n/a
103 3000.00 1115.50 100.000000 0.9999306842803195 0.999962 -1180471.203674 300.378407 41.229484 151.087278 -299.590818 5703.233948 -10.092 -10.092 2.425372 4.445463 1.168 n/a n/a
104 3000.00 1115.60 100.000000 0.9999955680950644 0.999998 -1180453.213088 300.391362 41.230083 151.090587 -299.595964 5703.546818 -10.088 -10.088 2.425409 4.445438 1.168 n/a n/a
105 3000.00 1115.70 100.000000 1.0000000000000000 1.000000 -1180437.907155 300.402383 41.230656 151.091096 -299.595627 5703.568189 -10.087 -10.087 2.425380 0.000000 1.168 n/a n/a
106 3000.00 1115.60 100.000000 0.9999955681014441 0.999998 -1180453.213088 300.391362 41.230083 151.090587 -299.595964 5703.546818 -10.088 -10.088 2.425409 4.445438 1.168 n/a n/a
107 3000.00 1116.00 100.000000 1.0000000000000000 1.000000 -1180392.579690 300.435016 41.232367 151.092009 -299.593408 5703.568189 -10.083 -10.083 2.425279 0.000000 1.166 n/a n/a
108 3000.00 1115.70 100.000000 1.0000000000000000 1.000000 -1180437.907155 300.402383 41.230656 151.091096 -299.595627 5703.568189 -10.087 -10.087 2.425380 0.000000 1.168 n/a n/a
109 3000.00 1115.80 100.000000 1.0000000000000000 1.000000 -1180422.798031 300.413262 41.231226 151.091400 -299.594887 5703.568189 -10.085 -10.085 2.425346 0.000000 1.167 n/a n/a
110 3000.00 1110.79 100.000000 0.9969455167292652 0.998333 -1181315.064328 299.769691 41.201340 150.934683 -299.355863 5688.832963 -10.254 -10.254 2.423733 4.446593 1.194 n/a n/a
111 3000.00 1105.78 99.696602 0.9969446310599103 0.998334 -1180173.958157 298.469985 41.103394 150.483404 -299.097051 5672.164176 -10.428 -10.428 2.422133 4.447732 1.222 n/a n/a
112 3000.00 1100.77 99.394043 0.9970802939421286 0.998409 -1179027.309745 297.177308 41.005868 150.039623 -298.853475 5656.204744 -10.603 -10.603 2.420672 4.448810 1.249 n/a n/a
113 3000.00 1095.76 99.105893 0.9972075923424202 0.998480 -1177966.544026 295.920560 40.911796 149.616110 -298.625251 5641.000320 -10.778 -10.778 2.419342 4.449834 1.276 n/a n/a
114 3000.00 1090.75 98.831200 0.9973272415049262 0.998546 -1176985.906957 294.697254 40.820951 149.211519 -298.411411 5626.501937 -10.954 -10.954 2.418135 4.450808 1.303 n/a n/a
115 3000.00 1085.73 98.569098 0.9974398794512230 0.998608 -1176080.179748 293.505124 40.733124 148.824629 -298.211068 5612.664976 -11.132 -11.132 2.417044 4.451738 1.330 n/a n/a
116 3000.00 1080.72 98.318800 0.9975460768093480 0.998667 -1175244.616839 292.342101 40.648126 148.454320 -298.023411 5599.448681 -11.310 -11.310 2.416063 4.452629 1.356 n/a n/a
117 3000.00 1075.71 98.079584 0.9976463452403457 0.998722 -1174474.892300 291.206291 40.565783 148.099574 -297.847696 5586.815739 -11.489 -11.489 2.415186 4.453484 1.383 n/a n/a
118 3000.00 1070.70 97.850789 0.9977411446775569 0.998774 -1173767.053379 290.095958 40.485935 147.759452 -297.683237 5574.731911 -11.670 -11.670 2.414408 4.454308 1.410 n/a n/a
119 3000.00 1065.69 97.631809 0.9978308895597705 0.998824 -1173117.480106 289.009502 40.408438 147.433094 -297.529403 5563.165718 -11.851 -11.851 2.413723 4.455105 1.436 n/a n/a
120 3000.00 1060.68 97.422085 0.9914051154654510 0.994237 -1172779.512503 287.753285 40.316236 146.824882 -296.999635 5540.223987 -12.007 -12.007 2.409566 3.603584 1.468 n/a n/a
