Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
34 3000.00 1301.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
33 7000.00 1304.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
34 1000.00 1301.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
35 3000.00 1298.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
34 5000.00 1301.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
34 7000.00 1301.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
35 1000.00 1298.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
36 3000.00 1295.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
35 5000.00 1298.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
35 7000.00 1298.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
36 1000.00 1295.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
37 3000.00 1292.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
36 5000.00 1295.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
36 7000.00 1295.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
37 1000.00 1292.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
38 3000.00 1289.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
37 5000.00 1292.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
37 7000.00 1292.00 100.000000 50.1378 2.02832 13.0568 1.46158 0 11.8435 0.248607 6.54173 0 0 11.2031 2.45648 0.243675 0.186456 0.493269
